provider_name,provider_state,provider_zip_code,ownership_type,number_of_certified_beds,average_number_of_residents_per_day,provider_type,provider_resides_in_hospital,continuing_care_retirement_community,special_focus_status,abuse_icon,most_recent_health_inspection_more_than_2_years_ago,with_a_resident_and_family_council,automatic_sprinkler_systems_in_all_required_areas,overall_rating,health_inspection_rating,qm_rating,staffing_rating,reported_nurse_aide_staffing_hours_per_resident_per_day,reported_licensed_staffing_hours_per_resident_per_day,reported_total_nurse_staffing_hours_per_resident_per_day,registered_nurse_hours_per_resident_per_day_on_the_weekend,number_of_administrators_who_have_left_the_nursing_home,number_of_facility_reported_incidents,number_of_substantiated_complaints,number_of_citations_from_infection_control_inspections,number_of_fines,number_of_payment_denials,total_number_of_penalties
"BURNS NURSING HOME, INC.",AL,35653,For profit - Corporation,57,53.8,Medicare and Medicaid,N,N,,N,Y,Both,Yes,5,5,5,1,,,,,,0,0,0,1,0,1
COOSA VALLEY HEALTHCARE CENTER,AL,35150,For profit - Corporation,85,77.8,Medicare and Medicaid,N,N,,N,N,Resident,Yes,4,4,4,4,2.57453,1.67484,4.24937,0.46399,,0,0,0,1,0,1
HIGHLANDS HEALTH AND REHAB,AL,35768,Government - County,50,36.1,Medicare and Medicaid,N,N,,N,N,Resident,Yes,5,4,4,5,2.69624,2.00137,4.69761,0.49464,,0,0,0,0,0,0
EASTVIEW REHABILITATION & HEALTHCARE CENTER,AL,35206,For profit - Individual,92,73.3,Medicare and Medicaid,N,N,,N,Y,Both,Yes,3,4,2,1,1.35157,1.01414,2.36571,0.43939,,0,0,0,0,0,0
PLANTATION MANOR NURSING HOME,AL,35111,For profit - Individual,103,84.6,Medicare and Medicaid,N,N,,N,Y,Resident,Yes,2,2,3,3,2.12617,1.09792,3.22409,0.14552,1,0,2,0,2,0,2
ATHENS HEALTH AND REHABILITATION LLC,AL,35611,For profit - Corporation,149,129.2,Medicare and Medicaid,N,N,,N,N,Resident,Yes,5,4,5,2,2.38954,1.21623,3.60577,0.24652,,0,0,0,0,0,0
MERRY WOOD LODGE,AL,36025,For profit - Corporation,124,95.8,Medicare and Medicaid,N,N,,N,Y,Resident,Yes,2,2,3,2,2.18016,1.1074,3.28756,0.26307,0,0,2,0,0,0,0
HATLEY HEALTH CARE INC,AL,35045,For profit - Corporation,201,85.8,Medicare and Medicaid,N,N,,N,N,Both,Yes,3,3,2,4,1.67963,2.0303,3.70992,0.58237,0,1,0,0,0,0,0
"LIMESTONE NURSING AND REHABILITATION CENTER, LLC",AL,35611,For profit - Corporation,170,121.1,Medicare and Medicaid,N,N,,N,Y,Resident,Yes,1,2,4,1,1.73681,1.39396,3.13077,0.10103,,0,0,0,0,0,0
"WETUMPKA HEALTH AND REHABILITATION, LLC",AL,36092,For profit - Limited Liability company,121,109.8,Medicare and Medicaid,N,N,,N,N,Resident,Yes,2,3,4,1,,,,,,0,1,0,0,0,0
